URL,Title,Visit Time,Visit Count,Visited From,Visit Type,Visit Duration,Web Browser,User Profile,Browser Profile,URL Length,Typed Count,History File,Record ID
file:///C:/fileshare/CONFIDENTIAL_Client_Deliverables/Star%20Solutions_20240313.pdf,Star Solutions_20240313.pdf,3/19/2024 2:36:23 AM,1,,Auto TopLevel,00:00:26.987,Chrome,,FileServer,83,0,C:\lab\Tools\browsinghistoryview-x64\FileServer\History,1
file:///C:/fileshare/CONFIDENTIAL_Client_Deliverables/Precision%20Systems_20240313.pdf,Precision Systems_20240313.pdf,3/19/2024 2:36:53 AM,1,,Auto TopLevel,00:00:11.626,Chrome,,FileServer,86,0,C:\lab\Tools\browsinghistoryview-x64\FileServer\History,2
file:///C:/fileshare/CONFIDENTIAL_Client_Deliverables/Global%20Consulting_20240313.pdf,Global Consulting_20240313.pdf,3/19/2024 2:37:07 AM,1,,Auto TopLevel,00:00:12.461,Chrome,,FileServer,86,0,C:\lab\Tools\browsinghistoryview-x64\FileServer\History,3
file:///C:/fileshare/Design_documents/Design_20240313_PACB5630.pdf,Design_20240313_PACB5630.pdf,3/19/2024 2:37:26 AM,1,,Auto TopLevel,00:00:21.938,Chrome,,FileServer,66,0,C:\lab\Tools\browsinghistoryview-x64\FileServer\History,4
file:///C:/fileshare/Design_documents/Design_20240313_PACB7376.pdf,Design_20240313_PACB7376.pdf,3/19/2024 2:37:51 AM,1,,Auto TopLevel,00:00:13.910,Chrome,,FileServer,66,0,C:\lab\Tools\browsinghistoryview-x64\FileServer\History,5
file:///C:/fileshare/Payroll/chris_j_2023-11-02.pdf,chris_j_2023-11-02.pdf,3/19/2024 2:38:12 AM,1,,Auto TopLevel,00:01:27.039,Chrome,,FileServer,51,0,C:\lab\Tools\browsinghistoryview-x64\FileServer\History,6
file:///C:/fileshare/Payroll/daniel_t_2023-09-24.pdf,daniel_t_2023-09-24.pdf,3/19/2024 2:38:21 AM,1,,Auto TopLevel,00:01:16.709,Chrome,,FileServer,52,0,C:\lab\Tools\browsinghistoryview-x64\FileServer\History,7
file:///C:/fileshare/Payroll/emily_b_2023-11-30.pdf,emily_b_2023-11-30.pdf,3/19/2024 2:38:33 AM,1,,Auto TopLevel,00:01:04.159,Chrome,,FileServer,51,0,C:\lab\Tools\browsinghistoryview-x64\FileServer\History,8
file:///C:/fileshare/Taxes/daniel_j_2024-03-13.pdf,daniel_j_2024-03-13.pdf,3/19/2024 2:38:54 AM,1,,Auto TopLevel,00:00:41.554,Chrome,,FileServer,50,0,C:\lab\Tools\browsinghistoryview-x64\FileServer\History,9
file:///C:/fileshare/Taxes/jane_j_2024-03-13.pdf,jane_j_2024-03-13.pdf,3/19/2024 2:39:10 AM,1,,Auto TopLevel,00:00:23.295,Chrome,,FileServer,48,0,C:\lab\Tools\browsinghistoryview-x64\FileServer\History,10
file:///C:/fileshare/Taxes/daniel_b_2024-03-13.pdf,daniel_b_2024-03-13.pdf,3/19/2024 2:39:22 AM,1,,Auto TopLevel,00:00:10.161,Chrome,,FileServer,50,0,C:\lab\Tools\browsinghistoryview-x64\FileServer\History,11
https://www.google.com/search?q=file+transfer+sites+temp&rlz=1C1GCER_enUS1102US1102&oq=file+transfer+sites+temp&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIICAEQABgWGB4yCAgCEAAYFhgeMggIAxAAGBYYHjINCAQQABiGAxiABBiKBTINCAUQABiGAxiABBiKBTINCAYQABiGAxiABBiKBTINCAcQABiGAxiABBiKBdIBCTEyNzU5ajBqN6gCALACAA&sourceid=chrome&ie=UTF-8,file transfer sites temp - Google Search,3/19/2024 2:52:02 AM,5,,Generated,00:00:00.659,Chrome,,FileServer,311,0,C:\lab\Tools\browsinghistoryview-x64\FileServer\History,12
https://www.google.com/search?q=file+transfer+sites+temp&rlz=1C1GCER_enUS1102US1102&oq=file+transfer+sites+temp&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIICAEQABgWGB4yCAgCEAAYFhgeMggIAxAAGBYYHjINCAQQABiGAxiABBiKBTINCAUQABiGAxiABBiKBTINCAYQABiGAxiABBiKBTINCAcQABiGAxiABBiKBdIBCTEyNzU5ajBqN6gCALACAA&sourceid=chrome&ie=UTF-8,file transfer sites temp - Google Search,3/19/2024 2:52:03 AM,5,https://www.google.com/search?q=file+transfer+sites+temp&rlz=1C1GCER_enUS1102US1102&oq=file+transfer+sites+temp&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIICAEQABgWGB4yCAgCEAAYFhgeMggIAxAAGBYYHjINCAQQABiGAxiABBiKBTINCAUQABiGAxiABBiKBTINCAYQABiGAxiABBiKBTINCAcQABiGAxiABBiKBdIBCTEyNzU5ajBqN6gCALACAA&sourceid=chrome&ie=UTF-8,Link,00:00:15.999,Chrome,,FileServer,311,0,C:\lab\Tools\browsinghistoryview-x64\FileServer\History,13
https://www.file.io/,file.io - Super simple file sharing,3/19/2024 2:52:19 AM,1,https://www.google.com/search?q=file+transfer+sites+temp&rlz=1C1GCER_enUS1102US1102&oq=file+transfer+sites+temp&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIICAEQABgWGB4yCAgCEAAYFhgeMggIAxAAGBYYHjINCAQQABiGAxiABBiKBTINCAUQABiGAxiABBiKBTINCAYQABiGAxiABBiKBTINCAcQABiGAxiABBiKBdIBCTEyNzU5ajBqN6gCALACAA&sourceid=chrome&ie=UTF-8,Link,00:00:12.189,Chrome,,FileServer,20,0,C:\lab\Tools\browsinghistoryview-x64\FileServer\History,14
https://www.google.com/search?q=file+transfer+sites+temp&rlz=1C1GCER_enUS1102US1102&oq=file+transfer+sites+temp&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIICAEQABgWGB4yCAgCEAAYFhgeMggIAxAAGBYYHjINCAQQABiGAxiABBiKBTINCAUQABiGAxiABBiKBTINCAYQABiGAxiABBiKBTINCAcQABiGAxiABBiKBdIBCTEyNzU5ajBqN6gCALACAA&sourceid=chrome&ie=UTF-8,file transfer sites temp - Google Search,3/19/2024 2:52:31 AM,5,,Generated,00:00:04.726,Chrome,,FileServer,311,0,C:\lab\Tools\browsinghistoryview-x64\FileServer\History,15
https://temp-file-share.web.app/,TempFileShare - share disappearing files to anyone,3/19/2024 2:52:36 AM,1,https://www.google.com/search?q=file+transfer+sites+temp&rlz=1C1GCER_enUS1102US1102&oq=file+transfer+sites+temp&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIICAEQABgWGB4yCAgCEAAYFhgeMggIAxAAGBYYHjINCAQQABiGAxiABBiKBTINCAUQABiGAxiABBiKBTINCAYQABiGAxiABBiKBTINCAcQABiGAxiABBiKBdIBCTEyNzU5ajBqN6gCALACAA&sourceid=chrome&ie=UTF-8,Link,00:00:11.184,Chrome,,FileServer,32,0,C:\lab\Tools\browsinghistoryview-x64\FileServer\History,16
https://www.google.com/search?q=file+transfer+sites+temp&rlz=1C1GCER_enUS1102US1102&oq=file+transfer+sites+temp&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIICAEQABgWGB4yCAgCEAAYFhgeMggIAxAAGBYYHjINCAQQABiGAxiABBiKBTINCAUQABiGAxiABBiKBTINCAYQABiGAxiABBiKBTINCAcQABiGAxiABBiKBdIBCTEyNzU5ajBqN6gCALACAA&sourceid=chrome&ie=UTF-8,file transfer sites temp - Google Search,3/19/2024 2:52:47 AM,5,,Generated,00:00:09.757,Chrome,,FileServer,311,0,C:\lab\Tools\browsinghistoryview-x64\FileServer\History,17
https://tmpfiles.org/,/tmp/files - Temporary File Upload,3/19/2024 2:52:57 AM,1,https://www.google.com/search?q=file+transfer+sites+temp&rlz=1C1GCER_enUS1102US1102&oq=file+transfer+sites+temp&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIICAEQABgWGB4yCAgCEAAYFhgeMggIAxAAGBYYHjINCAQQABiGAxiABBiKBTINCAUQABiGAxiABBiKBTINCAYQABiGAxiABBiKBTINCAcQABiGAxiABBiKBdIBCTEyNzU5ajBqN6gCALACAA&sourceid=chrome&ie=UTF-8,Link,00:00:04.340,Chrome,,FileServer,21,0,C:\lab\Tools\browsinghistoryview-x64\FileServer\History,18
https://www.google.com/search?q=file+transfer+sites+temp&rlz=1C1GCER_enUS1102US1102&oq=file+transfer+sites+temp&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIICAEQABgWGB4yCAgCEAAYFhgeMggIAxAAGBYYHjINCAQQABiGAxiABBiKBTINCAUQABiGAxiABBiKBTINCAYQABiGAxiABBiKBTINCAcQABiGAxiABBiKBdIBCTEyNzU5ajBqN6gCALACAA&sourceid=chrome&ie=UTF-8,file transfer sites temp - Google Search,3/19/2024 2:53:01 AM,5,,Generated,00:00:46.585,Chrome,,FileServer,311,0,C:\lab\Tools\browsinghistoryview-x64\FileServer\History,19
https://www.google.com/search?q=design+documents&rlz=1C1GCER_enUS1102US1102&oq=design+documents&gs_lcrp=EgZjaHJvbWUyCQgAEEUYORiABDIHCAEQABiABDIHCAIQABiABDIHCAMQABiABDIHCAQQABiABDIHCAUQABiABDIGCAYQRRg8MgYIBxBFGDzSAQg2MTM5ajBqOagCALACAA&sourceid=chrome&ie=UTF-8,design documents - Google Search,3/19/2024 2:53:48 AM,2,,Generated,00:00:00.886,Chrome,,FileServer,259,0,C:\lab\Tools\browsinghistoryview-x64\FileServer\History,20
https://www.google.com/search?q=design+documents&rlz=1C1GCER_enUS1102US1102&oq=design+documents&gs_lcrp=EgZjaHJvbWUyCQgAEEUYORiABDIHCAEQABiABDIHCAIQABiABDIHCAMQABiABDIHCAQQABiABDIHCAUQABiABDIGCAYQRRg8MgYIBxBFGDzSAQg2MTM5ajBqOagCALACAA&sourceid=chrome&ie=UTF-8,design documents - Google Search,3/19/2024 2:53:48 AM,2,https://www.google.com/search?q=design+documents&rlz=1C1GCER_enUS1102US1102&oq=design+documents&gs_lcrp=EgZjaHJvbWUyCQgAEEUYORiABDIHCAEQABiABDIHCAIQABiABDIHCAMQABiABDIHCAQQABiABDIHCAUQABiABDIGCAYQRRg8MgYIBxBFGDzSAQg2MTM5ajBqOagCALACAA&sourceid=chrome&ie=UTF-8,Link,00:00:07.361,Chrome,,FileServer,259,0,C:\lab\Tools\browsinghistoryview-x64\FileServer\History,21
https://www.google.com/search?q=design+documents&rlz=1C1GCER_enUS1102US1102&oq=design+documents&gs_lcrp=EgZjaHJvbWUyCQgAEEUYORiABDIHCAEQABiABDIHCAIQABiABDIHCAMQABiABDIHCAQQABiABDIHCAUQABiABDIGCAYQRRg8MgYIBxBFGDzSAQg2MTM5ajBqOagCALACAA&sourceid=chrome&ie=UTF-8#ip=1,design documents - Google Search,3/19/2024 2:53:56 AM,1,https://www.google.com/search?q=design+documents&rlz=1C1GCER_enUS1102US1102&oq=design+documents&gs_lcrp=EgZjaHJvbWUyCQgAEEUYORiABDIHCAEQABiABDIHCAIQABiABDIHCAMQABiABDIHCAQQABiABDIHCAUQABiABDIGCAYQRRg8MgYIBxBFGDzSAQg2MTM5ajBqOagCALACAA&sourceid=chrome&ie=UTF-8,Link,00:00:19.498,Chrome,,FileServer,264,0,C:\lab\Tools\browsinghistoryview-x64\FileServer\History,22
https://www.google.com/search?q=what+does+ssn+stand+for&rlz=1C1GCER_enUS1102US1102&oq=what+does+ssn+stand+for&gs_lcrp=EgZjaHJvbWUqBwgAEAAYgAQyBwgAEAAYgAQyBwgBEAAYgAQyBwgCEAAYgAQyBwgDEAAYgAQyBwgEEAAYgAQyCAgFEAAYFhgeMgoIBhAAGAoYFhgeMggIBxAAGBYYHjIICAgQABgWGB4yCAgJEAAYFhge0gEJMTY2MzJqMGo5qAIAsAIA&sourceid=chrome&ie=UTF-8,what does ssn stand for - Google Search,3/19/2024 2:54:15 AM,2,,Generated,00:00:00.753,Chrome,,FileServer,319,0,C:\lab\Tools\browsinghistoryview-x64\FileServer\History,23
https://www.google.com/search?q=what+does+ssn+stand+for&rlz=1C1GCER_enUS1102US1102&oq=what+does+ssn+stand+for&gs_lcrp=EgZjaHJvbWUqBwgAEAAYgAQyBwgAEAAYgAQyBwgBEAAYgAQyBwgCEAAYgAQyBwgDEAAYgAQyBwgEEAAYgAQyCAgFEAAYFhgeMgoIBhAAGAoYFhgeMggIBxAAGBYYHjIICAgQABgWGB4yCAgJEAAYFhge0gEJMTY2MzJqMGo5qAIAsAIA&sourceid=chrome&ie=UTF-8,what does ssn stand for - Google Search,3/19/2024 2:54:16 AM,2,https://www.google.com/search?q=what+does+ssn+stand+for&rlz=1C1GCER_enUS1102US1102&oq=what+does+ssn+stand+for&gs_lcrp=EgZjaHJvbWUqBwgAEAAYgAQyBwgAEAAYgAQyBwgBEAAYgAQyBwgCEAAYgAQyBwgDEAAYgAQyBwgEEAAYgAQyCAgFEAAYFhgeMgoIBhAAGAoYFhgeMggIBxAAGBYYHjIICAgQABgWGB4yCAgJEAAYFhge0gEJMTY2MzJqMGo5qAIAsAIA&sourceid=chrome&ie=UTF-8,Link,00:00:12.838,Chrome,,FileServer,319,0,C:\lab\Tools\browsinghistoryview-x64\FileServer\History,24
https://www.google.com/search?q=how+much+is+ssn+worth+on+dark+web&rlz=1C1GCER_enUS1102US1102&oq=how+much+is+ssn+worth+on+dark+web&gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBCDYyNjFqMGo5qAIAsAIA&sourceid=chrome&ie=UTF-8,how much is ssn worth on dark web - Google Search,3/19/2024 2:54:29 AM,2,,Generated,00:00:00.472,Chrome,,FileServer,207,0,C:\lab\Tools\browsinghistoryview-x64\FileServer\History,25
https://www.google.com/search?q=how+much+is+ssn+worth+on+dark+web&rlz=1C1GCER_enUS1102US1102&oq=how+much+is+ssn+worth+on+dark+web&gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBCDYyNjFqMGo5qAIAsAIA&sourceid=chrome&ie=UTF-8,how much is ssn worth on dark web - Google Search,3/19/2024 2:54:29 AM,2,https://www.google.com/search?q=how+much+is+ssn+worth+on+dark+web&rlz=1C1GCER_enUS1102US1102&oq=how+much+is+ssn+worth+on+dark+web&gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBCDYyNjFqMGo5qAIAsAIA&sourceid=chrome&ie=UTF-8,Link,00:04:55.482,Chrome,,FileServer,207,0,C:\lab\Tools\browsinghistoryview-x64\FileServer\History,26
"https://www.forbes.com/sites/jessedamiani/2020/03/25/your-social-security-number-costs-4-on-the-dark-web-new-report-finds/#:~:text=As%20with%20Equifax%2C%20cyberattacks%20are,as%20%244%20on%20the%20darknet.","Your Social Security Number Costs $4 On The Dark Web, New Report Finds",3/19/2024 2:59:25 AM,1,https://www.google.com/search?q=how+much+is+ssn+worth+on+dark+web&rlz=1C1GCER_enUS1102US1102&oq=how+much+is+ssn+worth+on+dark+web&gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBCDYyNjFqMGo5qAIAsAIA&sourceid=chrome&ie=UTF-8,Link,00:00:00.919,Chrome,,FileServer,206,0,C:\lab\Tools\browsinghistoryview-x64\FileServer\History,27
https://www.forbes.com/sites/jessedamiani/2020/03/25/your-social-security-number-costs-4-on-the-dark-web-new-report-finds/,"Your Social Security Number Costs $4 On The Dark Web, New Report Finds",3/19/2024 2:59:26 AM,1,"https://www.forbes.com/sites/jessedamiani/2020/03/25/your-social-security-number-costs-4-on-the-dark-web-new-report-finds/#:~:text=As%20with%20Equifax%2C%20cyberattacks%20are,as%20%244%20on%20the%20darknet.",Link,00:00:00.353,Chrome,,FileServer,122,0,C:\lab\Tools\browsinghistoryview-x64\FileServer\History,28
https://www.forbes.com/sites/jessedamiani/2020/03/25/your-social-security-number-costs-4-on-the-dark-web-new-report-finds/?sh=4f8644bb13f1,"Your Social Security Number Costs $4 On The Dark Web, New Report Finds",3/19/2024 2:59:26 AM,1,https://www.forbes.com/sites/jessedamiani/2020/03/25/your-social-security-number-costs-4-on-the-dark-web-new-report-finds/,Link,00:00:19.752,Chrome,,FileServer,138,0,C:\lab\Tools\browsinghistoryview-x64\FileServer\History,29
https://drive.google.com/drive/folders/1dQHzMaLEJWh_N1fFLu4apMUnbVUivjCj?usp=sharing,uploaads - Google Drive,3/19/2024 3:00:40 AM,1,,Typed URL,00:00:00.704,Chrome,,FileServer,84,1,C:\lab\Tools\browsinghistoryview-x64\FileServer\History,30
https://drive.google.com/drive/folders/1dQHzMaLEJWh_N1fFLu4apMUnbVUivjCj,uploaads - Google Drive,3/19/2024 3:00:41 AM,5,https://drive.google.com/drive/folders/1dQHzMaLEJWh_N1fFLu4apMUnbVUivjCj?usp=sharing,Link,00:00:00.687,Chrome,,FileServer,72,0,C:\lab\Tools\browsinghistoryview-x64\FileServer\History,31
